date,playoffs,home,away,score_home,score_away,pi_home,oi_home,pi_away,oi_away
2022-11-27,False,atl,mia,98,106,0.6040343668285394,1.606060606060606,0.3959656331714606,2.45
2022-11-27,False,orl,phi,103,133,0.5,1.9090909090909092,0.5,1.9090909090909092
2022-11-27,False,bos,wsh,130,121,0.7395517867958814,1.303030303030303,0.2604482132041186,3.7
2022-11-27,False,ny,mem,123,127,0.4675324675324676,2.05,0.5324675324675324,1.8
2022-11-27,False,det,cle,94,102,0.27586206896551724,3.5,0.7241379310344828,1.3333333333333333
2022-11-27,False,mil,dal,124,115,0.6659707724425887,1.4545454545454546,0.33402922755741127,2.9
2022-11-28,False,phi,atl,104,101,0.5427435387673957,1.7692307692307692,0.4572564612326043,2.1
2022-11-28,False,wsh,min,142,127,0.5108342361863489,1.8695652173913042,0.48916576381365107,1.9523809523809523
2022-11-28,False,bkn,orl,109,102,0.84,1.1428571428571428,0.16000000000000003,6.0
2022-11-28,False,tor,cle,100,88,0.6470588235294118,1.5,0.3529411764705882,2.75
2022-11-28,False,bos,cha,140,105,0.8328690807799444,1.1538461538461537,0.16713091922005563,5.75
2022-11-28,False,no,okc,105,101,0.6547884187082406,1.4761904761904763,0.34521158129175944,2.8
2022-11-28,False,den,hou,129,113,0.8250000000000001,1.1666666666666667,0.17499999999999993,5.5
2022-11-28,False,utah,chi,107,114,0.552594002855783,1.7407407407407407,0.447405997144217,2.15
2022-11-28,False,sac,phx,117,122,0.5,1.9090909090909092,0.5,1.9090909090909092
2022-11-28,False,lal,ind,115,116,0.6040343668285394,1.606060606060606,0.3959656331714606,2.45
2022-11-29,False,det,ny,110,140,0.3812824956672444,2.55,0.6187175043327555,1.5714285714285714
2022-11-29,False,dal,gs,116,113,0.5108342361863489,1.8695652173913042,0.48916576381365107,1.9523809523809523
2022-11-29,False,por,lac,112,118,0.6040343668285394,1.606060606060606,0.3959656331714606,2.45
2022-11-30,False,cle,phi,113,85,0.6040343668285394,1.606060606060606,0.3959656331714606,2.45
2022-11-30,False,orl,atl,108,125,0.3207547169811321,3.0,0.6792452830188679,1.4166666666666667
2022-11-30,False,bos,mia,134,121,0.7976878612716763,1.2173913043478262,0.20231213872832365,4.8
2022-11-30,False,ny,mil,103,109,0.3207547169811321,3.0,0.6792452830188679,1.4166666666666667
2022-11-30,False,bkn,wsh,113,107,0.6659707724425887,1.4545454545454546,0.33402922755741127,2.9
2022-11-30,False,okc,sa,119,111,0.5798319327731092,1.6666666666666665,0.4201680672268908,2.3
2022-11-30,False,min,mem,109,101,0.4201680672268907,2.3,0.5798319327731093,1.6666666666666665
2022-11-30,False,no,tor,126,108,0.42888402625820565,2.25,0.5711159737417943,1.6896551724137931
2022-11-30,False,den,hou,120,100,0.84,1.1428571428571428,0.16000000000000003,6.0
2022-11-30,False,utah,lac,125,112,0.7241379310344829,1.3333333333333333,0.2758620689655171,3.5
2022-11-30,False,phx,chi,132,113,0.6547884187082406,1.4761904761904763,0.34521158129175944,2.8
2022-11-30,False,sac,ind,137,114,0.6256684491978609,1.5555555555555556,0.3743315508021391,2.6
2022-11-30,False,lal,por,128,109,0.6727813584531482,1.434782608695652,0.32721864154685176,2.95
2022-12-01,False,det,dal,131,125,0.26448362720403024,3.65,0.7355163727959697,1.3125
2022-12-02,False,cha,wsh,117,116,0.38848920863309355,2.5,0.6115107913669064,1.5882352941176472
2022-12-02,False,bos,mia,116,120,0.7107039537126325,1.3636363636363638,0.2892960462873675,3.35
2022-12-02,False,mil,lal,129,133,0.7578947368421054,1.2777777777777777,0.2421052631578946,4.0
2022-12-02,False,atl,den,117,109,0.35294117647058826,2.75,0.6470588235294117,1.5
2022-12-02,False,bkn,tor,114,105,0.5324675324675325,1.8,0.46753246753246747,2.05
2022-12-02,False,cle,orl,107,96,0.8250000000000001,1.1666666666666667,0.17499999999999993,5.5
2022-12-02,False,mem,phi,117,109,0.638854296388543,1.526315789473684,0.36114570361145704,2.7
2022-12-02,False,sa,no,99,117,0.2892960462873674,3.35,0.7107039537126326,1.3636363636363638
2022-12-02,False,phx,hou,121,122,0.8328690807799444,1.1538461538461537,0.16713091922005563,5.75
2022-12-02,False,utah,ind,139,119,0.6115107913669063,1.5882352941176472,0.38848920863309366,2.5
2022-12-02,False,gs,chi,119,111,0.7065820777160984,1.3703703703703702,0.2934179222839016,3.3
2022-12-03,False,ny,dal,100,121,0.4782608695652174,2.0,0.5217391304347826,1.8333333333333335
2022-12-03,False,lac,sac,96,123,0.40372670807453415,2.4,0.5962732919254659,1.625
2022-12-03,False,cha,mil,96,105,0.4675324675324676,2.05,0.5324675324675324,1.8
2022-12-03,False,tor,orl,121,108,0.8250000000000001,1.1666666666666667,0.17499999999999993,5.5
2022-12-03,False,min,okc,128,135,0.6547884187082406,1.4761904761904763,0.34521158129175944,2.8
2022-12-03,False,gs,hou,120,101,0.8250000000000001,1.1666666666666667,0.17499999999999993,5.5
2022-12-03,False,utah,por,111,116,0.638854296388543,1.526315789473684,0.36114570361145704,2.7
2022-12-04,False,no,den,121,106,0.5427435387673957,1.7692307692307692,0.4572564612326043,2.1
2022-12-04,False,sa,phx,95,133,0.20465116279069767,4.75,0.7953488372093023,1.2222222222222223
2022-12-04,False,sac,chi,110,101,0.5798319327731092,1.6666666666666665,0.4201680672268908,2.3
2022-12-04,False,det,mem,112,122,0.31111111111111106,3.1,0.6888888888888889,1.4
2022-12-04,False,wsh,lal,119,130,0.552594002855783,1.7407407407407407,0.447405997144217,2.15
2022-12-04,False,ny,cle,92,81,0.42888402625820565,2.25,0.5711159737417943,1.6896551724137931
2022-12-04,False,bkn,bos,92,103,0.4572564612326044,2.1,0.5427435387673956,1.7692307692307692
2022-12-04,False,por,ind,116,100,0.6470588235294118,1.5,0.3529411764705882,2.75
2022-12-05,False,orl,mil,102,109,0.18374558303886926,5.25,0.8162544169611308,1.1818181818181819
2022-12-05,False,cha,lac,117,119,0.3207547169811321,3.0,0.6792452830188679,1.4166666666666667
2022-12-05,False,tor,bos,110,116,0.5217391304347826,1.8333333333333335,0.4782608695652174,2.0
2022-12-05,False,atl,okc,114,121,0.679245283018868,1.4166666666666667,0.320754716981132,3.0
2022-12-05,False,hou,phi,132,123,0.2604482132041187,3.7,0.7395517867958813,1.303030303030303
2022-12-05,False,mem,mia,101,93,0.3452115812917595,2.8,0.6547884187082404,1.4761904761904763
2022-12-05,False,dal,phx,130,111,0.5798319327731092,1.6666666666666665,0.4201680672268908,2.3
2022-12-05,False,gs,ind,104,112,0.84,1.1428571428571428,0.16000000000000003,6.0
2022-12-06,False,cle,lal,116,102,0.6604688763136621,1.4651162790697674,0.33953112368633787,2.85
2022-12-06,False,mia,det,96,116,0.7241379310344829,1.3333333333333333,0.2758620689655171,3.5
2022-12-06,False,den,dal,115,116,0.6323766526926797,1.5405405405405406,0.36762334730732027,2.65
2022-12-07,False,orl,lac,116,111,0.31111111111111106,3.1,0.6888888888888889,1.4
2022-12-07,False,tor,lal,126,113,0.8465011286681716,1.1333333333333333,0.15349887133182838,6.25
2022-12-07,False,ny,atl,113,89,0.5620437956204379,1.7142857142857144,0.43795620437956206,2.2
2022-12-07,False,bkn,cha,122,116,0.7953488372093023,1.2222222222222223,0.20465116279069773,4.75
2022-12-07,False,min,ind,121,115,0.638854296388543,1.526315789473684,0.36114570361145704,2.7
